;carpetmuncher;lesbian;
;deviant;queer;
;deviant's;queer's;
;deviants;queers;
;deviants';queers';
;dyke;lesbian;
;dyke's;lesbian's;
;dykes;lesbians;
;dykes';lesbians';
smoking a fag#have a fag#smoke a fag#having a fag#need a fag#fancy a fag#enjoy a fag#light a fag;fag;gay person;
;fag's;gay person's;
pack of fags#packet of fags#smoking fags#smoking some fags#having some fags#smoke some fags#run out of fag#out of fags;fags;gay people;
;fags';gay people's;
;faggot;gay man;
;faggots;gay men;
;faggots';gay men's;
;gayfag;gay man;
;gayfags;gay men;
;gayfags';gay men's;
;harlot;sex worker;
;lezza;lesbian;
;lezzer;lesbian;
;lezzy;lesbian;
;lezzies;lesbians;
;perversion;kink;
pervert the course of justice;pervert;fetishist;
;pervert's;fetishist's;
perverts the course of justice;perverts;fetishists;
;perverts';fetishists';
;poof;gay man;
;poof's;gay man's;
;poofs;gay men;
;poofs';gay men's;
;poofter;gay man;
;poofters;gay men;
;poofters';gay men's;
;prostitute;sex worker;
;queeny;queer;
;queenies;queers;
;queenies';queers';
;shemale;trans woman;
;shemales;trans women;
;shemales';trans women's;
;sicko;person with mental illness;
;sicko's;person with mental illness;
;sickos;people with mental illness;
;sickos';of the mentally ill;
;slapper;sexually active woman;
;slappers;sexually active women;
;slappers';sexually active women's;
;trannie;transgender person;
;trannies;transgender people;
;trannies';transgender people's;
;tranny;transgender person;
;twink;young gay man;
;twinks;young gay men;
;twinks';young gay men's;
;arse bandit;;
;dykery;lesbianism;
;fag marriage;marriage;
;fag marriages;marriage;
;fag rag;magazine;
;fagazine;magazine;
;faggot marriage;marriage;
;faggot marriages;marriages;
;faggotface;;
;faggotier;;
;faggotiest;;
;faggotism;;
;faggotly;;
;faggotness;gayness;
;faggoty;gay;
;faggy;gay;
;faglet;young gay man;
;faglets;young gay men;
;faglets';young gay men's;
;fagling;young gay man;
;faglings;young gay men;
;faglings';young gay men's;
;faglord;gay man;
;faglords;gay men;
;faglords';gay men's;
;fagness;gayness;
;knob jockey;gay man;
;knob jockeys;gay men;
;knob jockeys';gay men's;
;rug muncher;lesbian;
;San Fagcisco;San Francisco;
;cum dumpster;;
;dick sucking;fellatio;
;jailbait;minor;
;pimply;teenaged;
;snot nosed;inexperienced;
;coffin dodger;aged person;
;coffin dodgers;aged people;
;coffin dodgers';aged people's;
;crone;elderly woman;
;crones;elderly women;
;crones';elderly women's;
;hag;elderly woman;
;hag's;elderly woman's;
;hags;elderly women;
;hags';elderly women's;
